639, 235, -445
-72, 922, 634
862, 508, -382
-101, -196, -733
600, 500, 456
-715, 75, 43
-6, 608, -281
385, -300, 388
-966, -637, 472
998, 472, -184
644, 829, 632
260, -607, -372
-181, 220, -318
76, -160, -714
-993, 132, 602
682, 679, 580
-770, -649, 563
-837, -39, 110
577, -694, 651
9, 913, 0
-773, -70, 179
-163, 22, 439
205, 973, 924
-789, -551, -804
180, -404, -194
279, -41, 424
317, -898, -146
-67, -244, -970
25, -488, 47
-435, 695, -596
-268, -337, -586
532, 739, 170
217, 95, -142
164, 387, -215
334, 802, 297
-876, 238, 812
-51, -196, 957
65, 236, 269
-34, -73, -267
-940, 652, 664
-984, -228, 666
436, -210, -804
598, 197, -667
-547, -919, -595
-933, 252, -342
-909, 253, 9
300, -70, -847
-173, -216, -990
224, 835, 695
895, -566, 998
697, -830, 259
-927, -876, -51
-779, -777, -334
324, 725, 868
583, -517, -529
-224, -173, -285
-654, -953, 65
-617, 814, 55
-385, 186, -847
827, 38, -548
-6, 123, -568
-347, 381, -90
-573, -155, 852
332, 174, -589
138, -329, 78
-393, -894, 860
384, -695, 789
-761, -750, 987
392, 428, -564
546, 90, -759
497, 258, 946
812, 217, 144
241, 784, 412
996, -398, -832
801, -13, 292
-642, 194, -283
637, 961, -572
948, -500, 602
-871, -958, 815
565, 817, 11
180, 374, -433
-599, -692, 102
-666, -865, 525
-209, -605, 255
833, 25, -299
-972, -161, 922
-35, -339, -796
244, -950, -900
670, 614, 795
551, -102, -123
-263, 963, -844
519, 616, -622
-840, -322, -956
348, -79, -77
315, -887, -233
-531, 400, 219
-449, 178, -522
786, -926, -927
981, -113, 568
98, 742, -884
492, 714, -333
575, -611, -858
-305, 591, 293
402, 991, 447
2, 18, 644
-576, -240, -865
-32, 842, -474
508, 906, 15
-210, 244, 329
-477, 560, 497
-778, -146, 577
174, 638, -328
254, 399, -975
154, -368, -489
594, -857, -630
300, -758, 549
394, 972, -477
-568, 570, -425
-899, -678, 290
-266, 240, -74
336, 52, 181
426, 836, 749
956, 976, 78
-764, -482, -275
437, -924, 605
-143, 109, 786
699, -524, -608
-534, 661, 207
503, -878, 24
-978, 181, -941
-677, -265, 276
721, 582, 582
877, 763, 299
608, 861, 13
961, -580, 815
835, 44, 369
-18, -919, -1
572, 48, 536
-937, 418, 937
-242, 639, 313
-519, -618, 126
425, 802, -545
634, 747, 204
317, 187, -977
-7, 243, -361
-981, -238, -256
897, -249, 859
-975, -878, -395
49, 58, 556
135, -411, 343
567, 954, -757
439, -488, 32
316, -665, -319
506, -569, -787
604, -109, -983
225, 824, 649
-644, 14, 411
-61, -796, 506
-619, -908, 566
432, 722, -321
-435, -683, 951
-481, -257, 753
941, 94, 313
788, -904, -10
-843, 749, -152
719, -697, 131
346, 464, -770
864, -74, 808
-287, -666, 431
-504, -294, -312
943, 223, -229
-322, -702, -706
-163, 804, 223
15, -460, 842
528, -640, 72
881, -958, 854
677, 307, 536
992, 352, 261
181, -616, 152
-801, -18, -720
-934, -385, -873
829, 672, 152
-388, -681, 164
362, 35, -431
605, 46, 657
-776, 390, -306
-332, 334, 240
256, -888, 712
480, 84, 805
500, 705, 296
-551, 315, 826
854, 902, 848
-622, -410, -897
993, 841, 154
-2, 40, -474
162, 55, -491
379, -456, -223
-559, 581, -480
321, -940, -859
-716, 628, -468
714, -1000, 105
205, -451, 791
145, -306, -612
-820, 915, 687
534, -299, -444
-568, 430, 438
-365, 396, 722
-5, -130, 713
-388, -31, -395
389, 976, -945
-20, -600, 208
49, 2, 648
-795, -116, 214
-388, -388, -979
842, -848, 184
643, -483, 657
508, -378, -193
-340, 307, -503
-626, 110, 981
391, 123, 754
315, -797, -342
-14, 630, -403
-778, -74, -384
125, -441, -613
-564, 539, -239
968, -46, 317
482, -391, 463
-671, 864, 927
990, 419, 998
379, 96, -571
-727, -682, 68
-240, 521, 825
-759, -426, 1
-580, -688, -170
515, 235, 889
-849, 866, -25
751, -608, 53
-963, -600, 248
391, 748, 980
625, 203, 388
174, -559, 27
682, -220, 249
-158, -715, 894
473, 101, -14
269, 905, 825
-251, 38, -349
-360, 649, -68
-374, 961, 361
265, 812, -187
-656, 165, -693
184, 218, 756
-159, -379, 342
655, 457, -430
826, 22, 809
784, 83, -56
397, 332, 159
737, 393, 279
976, -723, 794
664, 392, -154
-794, 223, 669
-969, -310, -213
-313, 735, -818
-825, -278, 727
110, 574, 936
807, -210, 53
990, -811, -58
291, -873, -623
-903, -831, -559
-17, -40, -571
370, 385, -435
-587, 57, 78
-795, 41, 277
-474, 348, -1
411, 586, 243
-797, -251, -726
457, -777, -769
-894, -487, 568
-78, 890, 913
-12, -969, -265
96, -63, -347
11, -804, -145
-269, -77, 616
543, 760, 810
2, -272, -271
-478, 870, -60
292, -3, 995
336, -775, 888
906, -121, 802
-414, 715, 105
722, -650, 791
-494, 339, -937
-923, -941, -960
-56, 218, 409
-963, 273, -320
-606, -151, -79
486, -419, -277
-208, 595, 535
-161, -15, -407
203, 638, 441
478, 929, -885
-929, -597, -208
114, -826, -914
-972, -819, 161
-264, -514, 684
-785, -696, 383
-465, 787, -67
79, -106, -463
-68, 815, -483
142, 873, -195
145, -993, 389
-741, -450, 455
737, 512, 368
717, 125, -332
887, 408, -689
-347, -200, -628
-424, -684, -128
712, 408, -698
-635, 477, -544
-806, -872, 238
-773, 81, -404
201, 354, 538
-538, -992, -203
-608, 988, 156
600, 203, -916
341, 661, 538
-479, -23, -508
532, 314, 842
-283, -7, -403
-914, 450, -18
-325, 777, -890
-163, 152, 967
-899, -544, 534
607, -501, 200
986, 525, -472
153, -726, 387
434, 529, 155
-106, 840, 478
-70, 388, 904
98, -322, 125
857, 646, 427
225, -438, -368
595, 910, 349
174, 299, -272
351, -811, 640
687, 96, 387
583, -771, -481
47, -4, -549
-678, -379, -850
-9, -926, -67
-860, 561, 643
-45, 830, 17
-906, 123, -992
761, 577, 495
-345, 281, -246
-581, -281, -898
121, 619, 603
-366, 640, 838
-533, 293, -887
337, 467, 678
27, -263, 828
626, -698, 157
811, -752, 456
344, 122, -566
-34, 485, -504
695, -533, -550
-434, -197, -590
-560, 30, -599
-703, -188, 243
-818, 67, 180
-453, -931, 507
457, -543, 378
-329, -864, -505
302, -868, -591
94, 891, -975
1, -956, -517
542, 622, -929
279, 371, 570
774, 251, 544
902, 334, 787
-957, -70, 771
-358, -468, 97
-592, 507, -172
-932, -109, -864
-260, -303, -800
-142, -456, -182
104, 204, 991
-688, -54, -215
-594, 307, -481
-180, -545, 443
-658, -869, -849
-259, 598, -513
14, -430, 346
-522, -951, 542
374, 433, -93
428, 298, -252
-362, 288, -702
-363, -85, 242
5, 712, 777
-995, -313, -850
-411, 856, 979
106, -841, 413
476, 694, -130
770, 335, -513
163, -307, 494
753, -862, 579
-17, 936, 652
913, -240, -877
451, 85, -841
170, 934, 397
161, -183, 368
-769, 765, -933
516, -284, -517
698, 509, -134
-27, -296, 272
-501, 2, -171
-723, -32, 240
-927, 585, -5
-604, 391, -981
-254, -845, 771
-567, 30, -629
-595, -987, -908
-936, -941, 27
-723, -763, 451
541, 746, -418
199, 698, -307
-728, 913, 594
-24, 685, -238
-680, 383, 106
-694, 609, -458
-865, 470, -643
620, -355, 927
-506, -461, 706
-460, 57, -84
-863, -358, 278
-666, 424, 244
761, 981, -881
849, -128, 487
232, 505, -859
-548, 942, 318
225, 701, 608
816, -135, 312
-204, 418, 463
553, 685, 192
802, -754, -137
-255, -222, -266
-905, -121, -516
-402, 713, -412
-128, 707, 979
-888, -540, 524
544, 941, 820
332, 817, 210
-192, 367, -401
341, -18, 666
356, -540, -489
221, -255, 277
365, -263, -524
-118, -14, -893
490, -4, -575
-359, 228, 532
786, -263, 134
913, 302, 185
-215, 839, 853
493, -612, 813
695, -551, 405
568, 681, 477
445, -370, 628
91, 71, 160
293, -957, -146
285, 136, 784
-604, -605, 994
-169, 408, 530
-700, 148, 82
-511, -580, 741
-639, 919, -419
42, 970, 542
-964, -547, 274
109, -110, -560
-263, -502, 827
-9, -821, -283
-551, 495, -311
487, 443, 703
586, 254, -979
999, -693, 365
17, 301, -932
397, 275, 954
-637, -443, -15
69, 585, 560
500, -229, -366
-983, 195, 765
717, 734, 176
639, -923, 965
-85, -762, 250
-580, 293, 593
627, 973, 555
36, -804, 233
745, -869, 0
77, -390, -390
190, -446, 499
894, -231, -796
616, -934, 579
758, 379, 163
354, -740, -750
871, -562, 534
687, -649, -475
-989, 0, 843
439, 607, 704
885, 892, -837
573, -237, 44
166, 263, -320
-86, -17, 54
356, 619, -652
-510, 140, -127
-394, 174, 349
-159, -102, -655
-442, 398, 230
-893, -846, -40
53, 434, 653
945, -669, -671
57, -275, -282
842, -623, 867
-485, -221, 171
-136, 101, -356
918, -637, 325
555, -116, 318
-563, 318, -22
727, -343, -886
203, 513, 108
-768, -854, -118
90, -137, -121
-673, -234, -882
859, 336, 856
593, -507, 642
-547, 203, -999
-813, -920, 546
946, -466, -921
122, 797, -552
680, -339, 660
822, 795, -410
-558, -124, -864
422, 658, -573
-357, 687, 983
-495, -995, -779
-993, -216, 4
-166, 396, 555
-269, 823, -392
-76, 163, -667
170, 335, -153
596, 51, 427
